id,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,is_anomaly
engine056_cyc002,642.75,1586.44,1415.44,552.68,2388.1,9059.1,47.72,521.18,2388.13,8136.92,8.4412,395.0,38.81,23.2391,0
engine057_cyc001,642.64,1593.48,1402.4,553.58,2388.07,9049.3,47.41,521.82,2388.08,8136.11,8.3973,391.0,38.96,23.3836,0
engine057_cyc002,641.94,1586.18,1397.07,553.94,2388.05,9048.85,47.2,521.82,2388.05,8135.12,8.4227,393.0,38.94,23.368,0
engine057_cyc003,642.19,1591.6,1407.08,554.51,2388.11,9049.73,47.43,521.98,2388.06,8130.46,8.42,393.0,38.88,23.4072,0
engine058_cyc001,642.71,1587.27,1405.1,553.55,2387.99,9063.94,47.4,521.98,2388.0,8145.98,8.3982,391.0,39.03,23.4821,0
engine058_cyc003,641.87,1587.99,1412.41,554.45,2388.02,9064.87,47.44,522.37,2388.06,8142.33,8.3964,392.0,38.99,23.3706,0
engine059_cyc001,642.23,1583.85,1394.9,554.96,2388.01,9054.46,47.12,522.76,2387.99,8138.74,8.4077,390.0,38.95,23.3631,0
engine059_cyc002,641.68,1583.38,1391.57,554.44,2388.0,9048.32,47.05,522.92,2388.0,8143.46,8.4237,391.0,39.07,23.5368,0
engine059_cyc003,642.12,1593.37,1396.53,554.45,2388.01,9048.23,47.09,522.29,2388.04,8142.43,8.3694,391.0,39.08,23.3646,0
engine060_cyc001,642.65,1585.71,1394.7,554.13,2388.14,9044.2,47.69,521.92,2388.11,8135.39,8.4409,392.0,38.89,23.3721,0
engine060_cyc002,642.42,1593.58,1400.03,553.43,2388.08,9057.18,47.44,521.18,2388.1,8138.29,8.4322,392.0,38.85,23.2555,0
engine061_cyc001,641.89,1582.05,1399.41,554.88,2387.98,9063.7,47.15,522.36,2388.01,8140.09,8.3703,391.0,39.27,23.4459,0
engine061_cyc002,641.79,1578.38,1397.21,554.86,2387.97,9064.77,47.45,522.39,2387.95,8146.75,8.4195,391.0,38.99,23.51,0
engine061_cyc003,641.83,1584.92,1394.93,555.18,2387.97,9067.64,47.1,522.39,2388.03,8146.4,8.3592,392.0,39.16,23.3222,0
engine062_cyc001,642.77,1588.2,1413.2,553.04,2388.07,9060.26,47.55,521.52,2388.1,8140.43,8.4479,392.0,38.94,23.2366,0
engine062_cyc002,642.53,1580.22,1412.82,553.68,2388.08,9058.77,47.5,520.92,2388.1,8139.12,8.451,394.0,38.86,23.3081,0
engine062_cyc003,642.52,1589.38,1408.06,553.07,2388.08,9055.76,47.68,521.57,2388.09,8137.36,8.4472,394.0,38.88,23.2851,0
engine063_cyc001,642.61,1585.01,1405.59,553.95,2388.07,9050.26,47.38,521.24,2388.09,8137.64,8.395,392.0,38.98,23.4455,0
engine063_cyc003,642.55,1600.15,1404.54,553.22,2388.09,9057.29,47.52,521.53,2388.06,8134.44,8.4368,392.0,39.0,23.3173,0
engine064_cyc001,642.36,1586.12,1408.33,553.72,2388.06,9061.0,47.36,522.38,2388.02,8139.39,8.4304,393.0,38.91,23.325,0
engine064_cyc002,642.88,1581.13,1411.2,554.33,2388.09,9058.96,47.34,521.81,2388.08,8132.32,8.4046,392.0,38.86,23.3201,0
engine064_cyc003,642.4,1588.42,1398.31,554.17,2388.05,9056.99,47.49,521.78,2388.07,8140.83,8.4201,394.0,38.8,23.3658,0
engine065_cyc002,641.7,1580.85,1403.05,554.12,2388.0,9067.05,47.22,522.72,2387.97,8144.19,8.3931,391.0,39.05,23.4484,0
engine065_cyc003,642.05,1577.46,1404.75,554.38,2387.99,9056.05,47.03,522.66,2388.04,8146.1,8.4203,392.0,39.21,23.4586,0
engine066_cyc002,642.81,1595.37,1410.63,553.74,2388.15,9059.79,47.69,520.88,2388.08,8137.77,8.4827,394.0,38.91,23.2101,0
engine066_cyc003,642.53,1584.2,1415.2,553.39,2388.08,9054.91,47.75,521.5,2388.14,8139.29,8.4491,394.0,38.58,23.2292,0
engine067_cyc002,642.12,1591.12,1404.59,553.72,2388.12,9060.29,47.23,521.72,2388.04,8143.35,8.3883,393.0,38.8,23.4387,0
engine067_cyc003,642.52,1591.87,1408.07,553.63,2388.08,9069.27,47.16,522.17,2388.02,8149.79,8.4786,391.0,38.92,23.3917,0
engine068_cyc001,642.25,1589.89,1408.15,553.31,2388.07,9065.09,47.29,521.73,2388.11,8141.65,8.4583,394.0,38.71,23.3029,0
engine068_cyc002,642.82,1586.51,1405.07,554.06,2388.1,9060.7,47.55,522.11,2388.05,8141.33,8.4402,393.0,38.82,23.3188,0
engine068_cyc003,642.33,1584.78,1406.81,553.3,2388.12,9065.74,47.5,520.98,2388.09,8137.02,8.4029,394.0,38.92,23.218,0
engine069_cyc001,641.96,1587.1,1400.65,553.68,2388.0,9054.19,47.34,522.03,2388.03,8136.88,8.4094,392.0,38.87,23.4081,0
engine069_cyc002,641.5,1594.24,1401.54,554.22,2388.04,9057.57,47.26,522.08,2388.08,8139.88,8.4172,392.0,39.02,23.4189,0
engine069_cyc003,642.73,1585.41,1405.22,554.11,2388.04,9052.77,47.35,522.05,2388.06,8136.42,8.3869,392.0,38.82,23.3756,0
engine070_cyc001,642.26,1588.45,1400.02,552.94,2388.09,9065.41,47.61,521.18,2388.07,8138.06,8.43,392.0,38.81,23.418,0
engine070_cyc002,642.59,1590.0,1407.22,552.5,2388.11,9059.25,47.48,522.08,2388.12,8134.76,8.4447,394.0,38.79,23.3135,0
engine070_cyc003,642.82,1586.05,1408.64,553.75,2388.09,9063.08,47.45,521.93,2388.03,8140.84,8.4202,392.0,38.87,23.414,0
engine071_cyc001,642.64,1581.95,1407.04,553.56,2388.11,9042.7,47.44,521.9,2388.13,8126.82,8.4372,391.0,38.99,23.2399,0
engine071_cyc002,642.82,1593.17,1403.53,553.22,2388.11,9040.58,47.56,521.24,2388.1,8124.84,8.4068,392.0,38.85,23.2887,0
engine071_cyc003,642.5,1582.94,1402.54,553.7,2388.11,9044.49,47.62,521.85,2388.09,8123.24,8.4233,394.0,38.92,23.3668,0
engine072_cyc003,642.39,1588.19,1402.37,553.84,2388.04,9043.02,47.39,521.66,2388.05,8127.28,8.4303,393.0,38.99,23.3593,0
engine073_cyc001,642.84,1591.37,1408.94,553.29,2388.15,9042.35,47.46,521.26,2388.11,8122.12,8.4092,394.0,38.72,23.2402,0
engine073_cyc002,642.46,1594.55,1415.22,553.17,2388.15,9043.79,47.57,521.06,2388.14,8120.45,8.4365,393.0,38.85,23.2368,0
engine073_cyc003,642.78,1593.6,1411.45,553.06,2388.14,9039.49,47.48,521.34,2388.1,8124.08,8.4456,392.0,38.86,23.3427,0
engine074_cyc001,642.31,1580.43,1400.18,554.02,2388.0,9067.46,47.21,522.55,2388.0,8148.06,8.379,391.0,39.11,23.405,0
engine074_cyc002,642.26,1593.03,1398.78,554.23,2388.01,9068.21,47.39,521.58,2388.01,8149.56,8.4144,392.0,38.93,23.3752,0
engine074_cyc003,642.61,1579.86,1399.5,554.45,2388.05,9066.32,47.2,522.07,2388.01,8144.95,8.3793,392.0,38.8,23.4071,0
engine075_cyc001,642.1,1590.06,1404.45,553.69,2388.1,9045.13,47.64,521.34,2388.06,8122.59,8.4538,392.0,38.98,23.2272,0
engine075_cyc003,642.62,1591.86,1404.45,553.74,2388.03,9042.85,47.6,521.15,2388.08,8123.89,8.4266,391.0,38.89,23.2593,0
engine076_cyc002,642.24,1589.03,1411.7,553.24,2388.13,9056.49,47.71,521.38,2388.11,8129.09,8.4192,394.0,38.79,23.3319,0
engine076_cyc003,642.92,1597.35,1404.75,553.55,2388.06,9059.17,47.44,521.89,2388.08,8137.35,8.473,393.0,38.88,23.2503,0
engine077_cyc003,641.78,1585.31,1400.54,553.67,2388.12,9051.11,47.39,521.46,2388.09,8125.17,8.435,394.0,38.82,23.2387,0
engine078_cyc001,642.0,1587.5,1395.1,554.76,2388.02,9055.79,47.0,522.48,2387.96,8139.23,8.3303,392.0,39.26,23.4923,0
engine078_cyc002,641.45,1586.11,1394.24,555.1,2387.98,9053.91,47.23,522.87,2387.99,8144.53,8.406,391.0,39.21,23.3712,0
engine079_cyc001,642.22,1581.77,1392.78,554.44,2387.95,9055.37,47.1,522.54,2388.05,8139.5,8.3795,391.0,39.02,23.526,0
engine079_cyc002,641.97,1582.13,1399.23,554.88,2387.96,9052.66,47.15,522.39,2388.0,8136.53,8.3828,391.0,39.06,23.3483,0
engine079_cyc003,642.15,1584.59,1398.1,555.06,2387.99,9057.79,47.37,522.14,2387.99,8136.7,8.4288,392.0,38.95,23.3914,0
engine080_cyc001,642.66,1588.3,1392.25,553.3,2388.17,9052.54,47.44,521.76,2388.13,8130.23,8.4377,393.0,38.66,23.2146,0
engine080_cyc002,642.55,1590.37,1413.83,554.33,2388.08,9047.61,47.62,521.62,2388.12,8136.26,8.4602,393.0,38.83,23.3626,0
engine080_cyc003,643.62,1586.74,1408.62,553.94,2388.12,9055.27,47.46,521.51,2388.1,8131.42,8.399,393.0,38.78,23.2833,0
engine081_cyc001,642.04,1589.91,1406.63,553.78,2388.1,9060.49,47.53,522.09,2388.04,8134.78,8.4455,391.0,38.87,23.3365,0
engine081_cyc002,642.65,1586.25,1407.88,553.7,2388.09,9064.32,47.39,522.07,2388.07,8140.37,8.4573,392.0,38.91,23.3452,0
engine081_cyc003,642.55,1586.42,1396.4,553.28,2388.11,9058.66,47.39,521.07,2388.06,8139.75,8.4522,394.0,39.04,23.361,0
engine082_cyc001,641.73,1582.64,1401.58,555.37,2387.98,9064.54,47.09,522.39,2387.99,8148.75,8.383,391.0,38.84,23.4584,0
engine083_cyc001,642.14,1581.34,1392.65,554.79,2388.06,9057.43,47.14,522.26,2388.03,8148.42,8.3915,391.0,39.13,23.3768,0
engine083_cyc002,641.75,1575.29,1393.01,555.09,2388.02,9060.87,47.07,522.67,2387.98,8142.31,8.3902,392.0,39.19,23.3193,0
engine083_cyc003,641.9,1588.37,1391.04,554.56,2387.98,9058.42,47.19,522.54,2388.0,8139.69,8.4149,392.0,39.01,23.4293,0
engine084_cyc001,643.21,1582.28,1411.05,552.34,2388.13,9047.16,47.7,521.74,2388.17,8126.26,8.4379,393.0,38.69,23.2347,0
engine084_cyc003,642.52,1594.11,1405.79,553.14,2388.1,9050.03,47.56,521.65,2388.13,8125.01,8.4371,393.0,38.78,23.2421,0
engine085_cyc002,642.37,1586.83,1396.63,553.5,2388.08,9042.51,47.3,521.73,2388.1,8135.57,8.4283,394.0,38.96,23.3597,0
engine086_cyc001,643.06,1593.71,1408.42,554.35,2388.05,9060.64,47.35,522.38,2388.09,8136.32,8.4239,392.0,38.82,23.4096,0
engine087_cyc001,642.67,1595.33,1404.23,554.29,2388.04,9060.45,47.36,522.07,2388.01,8143.6,8.4386,396.0,38.87,23.3231,0
engine087_cyc002,642.43,1587.74,1411.71,553.91,2388.03,9065.16,47.44,521.81,2388.03,8141.4,8.4433,393.0,38.94,23.3576,0
engine088_cyc001,642.31,1573.02,1404.47,554.38,2388.03,9059.25,47.33,521.84,2388.0,8146.05,8.412,393.0,39.12,23.3496,0
engine089_cyc001,642.47,1582.56,1402.93,554.62,2388.07,9042.07,46.97,522.18,2388.03,8128.4,8.4249,391.0,38.93,23.384,0
engine089_cyc003,642.2,1584.76,1392.73,554.54,2388.09,9041.99,47.34,522.36,2388.08,8130.65,8.3794,393.0,39.15,23.3842,0
engine090_cyc001,642.34,1584.51,1394.55,553.98,2388.08,9056.25,47.06,521.98,2388.01,8139.65,8.4261,392.0,39.07,23.4068,0
engine090_cyc002,642.33,1589.07,1402.94,555.05,2387.98,9062.04,47.21,522.44,2388.0,8138.44,8.4105,391.0,39.22,23.3356,0
engine090_cyc003,641.72,1587.88,1393.65,554.24,2388.01,9059.19,47.13,522.62,2388.04,8141.14,8.4002,393.0,39.01,23.331,0
engine091_cyc001,643.41,1587.82,1411.03,554.53,2388.08,9054.59,47.69,521.44,2388.11,8134.25,8.4351,393.0,38.77,23.286,0
engine091_cyc003,642.61,1593.05,1409.55,553.16,2388.13,9059.8,47.49,521.41,2388.18,8134.12,8.4361,392.0,39.04,23.2637,0
engine092_cyc001,642.22,1591.86,1401.89,553.48,2388.1,9057.74,47.44,521.81,2388.09,8136.55,8.3948,392.0,38.87,23.4047,0
engine093_cyc001,642.51,1579.7,1402.95,554.54,2388.07,9060.7,47.13,522.42,2388.03,8139.06,8.4373,391.0,39.03,23.3501,0
engine093_cyc002,642.06,1583.52,1394.46,553.95,2388.02,9062.06,47.04,521.66,2388.03,8141.41,8.4357,392.0,38.99,23.3998,0
engine093_cyc003,641.88,1583.81,1388.81,554.1,2388.06,9062.63,47.42,522.2,2387.99,8140.79,8.4127,393.0,38.94,23.381,0
engine094_cyc003,643.09,1587.94,1408.19,553.39,2388.13,9047.44,47.66,521.24,2388.13,8130.38,8.4463,392.0,38.72,23.3329,0
engine095_cyc001,641.95,1581.56,1387.38,555.01,2387.92,9074.19,47.2,522.74,2387.93,8153.89,8.3884,393.0,38.98,23.4483,0
engine095_cyc002,642.29,1585.51,1392.61,554.25,2388.01,9066.35,47.23,522.2,2388.05,8151.85,8.3981,392.0,38.92,23.37,0
engine095_cyc003,642.7,1583.77,1394.14,554.72,2388.01,9069.28,46.85,522.69,2388.02,8148.79,8.4014,394.0,38.9,23.4003,0
engine096_cyc001,642.03,1579.12,1404.22,554.92,2388.11,9046.49,47.41,522.26,2388.06,8133.36,8.4293,392.0,38.82,23.4178,0
engine096_cyc003,642.03,1580.89,1395.06,554.03,2388.04,9047.25,47.33,522.26,2388.01,8134.72,8.4207,392.0,38.91,23.3341,0
engine097_cyc002,641.99,1582.99,1402.05,554.67,2388.03,9049.88,47.2,522.06,2388.08,8131.43,8.4072,392.0,39.14,23.3984,0
engine097_cyc003,641.9,1586.14,1403.8,554.1,2388.07,9047.9,47.35,522.66,2388.1,8129.52,8.418,392.0,38.97,23.4038,0
engine098_cyc001,642.3,1580.93,1404.55,554.16,2388.0,9073.83,47.25,522.3,2387.97,8150.69,8.3792,392.0,39.01,23.4547,0
engine098_cyc002,642.13,1585.29,1394.47,552.75,2388.03,9070.74,47.03,521.8,2388.03,8147.03,8.4158,392.0,38.91,23.3055,0
engine099_cyc001,641.69,1586.17,1391.14,554.09,2388.03,9064.32,47.41,522.65,2388.06,8131.23,8.4038,391.0,39.01,23.4007,0
engine099_cyc002,641.93,1588.58,1402.26,554.39,2388.08,9053.22,47.25,521.61,2388.06,8132.7,8.4303,392.0,39.05,23.422,0
engine099_cyc003,642.21,1588.22,1404.55,554.26,2388.08,9056.56,47.3,522.55,2388.02,8132.44,8.4122,391.0,39.0,23.4059,0
engine100_cyc001,642.25,1596.57,1404.52,553.99,2388.07,9055.97,47.36,522.13,2388.14,8146.76,8.4177,393.0,38.72,23.3899,0
engine100_cyc002,642.37,1589.43,1397.4,554.33,2388.06,9060.51,47.39,521.81,2388.1,8143.56,8.4186,393.0,39.18,23.246,0
engine100_cyc003,643.13,1588.55,1397.71,554.24,2388.06,9061.79,47.42,522.17,2388.09,8146.62,8.4391,393.0,38.95,23.2034,0
engine075_cyc227,643.84,1601.44,1426.63,551.22,2388.32,9024.42,48.09,519.19,2388.24,8106.69,8.5127,397.0,38.4,23.1277,1
engine049_cyc215,644.2,1593.84,1433.24,550.72,2388.26,9058.19,48.26,519.25,2388.3,8138.39,8.5046,396.0,38.46,23.0171,1
engine044_cyc190,643.42,1607.76,1428.14,552.12,2388.27,9084.54,48.03,519.68,2388.22,8156.39,8.4984,396.0,38.24,23.1008,1
engine081_cyc240,644.01,1601.01,1423.61,550.75,2388.28,9061.24,48.12,519.48,2388.22,8129.61,8.4922,397.0,38.37,23.0289,1
engine009_cyc201,644.04,1595.36,1428.43,552.3,2388.5,9239.76,48.11,520.28,2388.56,8289.63,8.5156,399.0,38.45,23.0284,1
engine008_cyc150,643.87,1602.84,1432.31,551.08,2388.27,9046.16,48.24,519.57,2388.26,8121.27,8.5509,394.0,38.24,23.051,1
engine023_cyc167,643.76,1603.61,1431.6,550.78,2388.27,9057.35,48.02,519.22,2388.27,8129.57,8.5071,397.0,38.37,23.0965,1
engine092_cyc339,643.41,1605.22,1428.24,551.18,2388.2,9137.65,48.19,519.92,2388.2,8202.93,8.5063,395.0,38.4,23.0027,1
engine079_cyc197,643.82,1603.82,1422.69,552.09,2388.18,9103.96,48.12,520.35,2388.22,8169.21,8.5147,397.0,38.5,23.0924,1
engine059_cyc231,643.47,1599.56,1425.87,550.88,2388.28,9063.69,48.14,519.09,2388.24,8141.32,8.5155,395.0,38.44,23.0258,1
engine098_cyc156,643.02,1603.77,1432.16,551.52,2388.24,9058.54,48.29,519.55,2388.26,8122.22,8.5308,396.0,38.33,23.1137,1
engine072_cyc211,643.72,1600.33,1429.09,550.63,2388.34,9034.75,48.15,519.62,2388.33,8103.98,8.5147,394.0,38.51,23.0211,1
engine069_cyc362,643.75,1598.16,1428.28,551.55,2388.31,9054.19,48.02,519.12,2388.33,8124.27,8.5126,397.0,38.42,22.9782,1
engine090_cyc154,643.6,1598.79,1434.02,550.77,2388.32,9032.34,48.4,519.31,2388.34,8110.86,8.5637,395.0,38.44,23.0727,1
engine018_cyc194,644.05,1609.52,1423.44,551.52,2388.13,9223.56,48.14,520.23,2388.12,8269.4,8.4945,397.0,38.58,23.0109,1
engine019_cyc157,643.43,1597.38,1426.98,551.22,2388.28,9042.2,48.01,519.5,2388.29,8112.87,8.5381,395.0,38.16,23.0758,1
engine049_cyc214,643.64,1599.32,1427.87,550.97,2388.31,9069.14,48.16,519.02,2388.29,8133.65,8.5176,396.0,38.46,23.1829,1
engine010_cyc220,643.46,1604.91,1422.76,551.73,2388.25,9115.15,47.95,520.23,2388.25,8181.11,8.5182,396.0,38.53,23.2187,1
engine040_cyc186,643.6,1614.93,1427.59,551.58,2388.22,9133.34,48.16,519.73,2388.21,8198.36,8.4929,396.0,38.3,23.1198,1
engine013_cyc161,643.5,1602.21,1432.17,551.85,2388.11,9144.17,48.34,520.26,2388.19,8210.25,8.5269,396.0,38.43,23.0185,1
engine064_cyc283,643.88,1605.47,1425.77,550.6,2388.17,9111.28,48.15,519.54,2388.22,8181.59,8.5458,397.0,38.45,23.1041,1
engine063_cyc174,643.43,1603.87,1424.72,551.7,2388.16,9175.01,48.21,520.16,2388.16,8239.45,8.5265,397.0,38.31,23.2228,1
engine070_cyc136,643.79,1601.3,1427.36,551.32,2388.22,9100.74,48.21,519.77,2388.25,8165.57,8.5529,398.0,38.24,23.0289,1
engine054_cyc257,643.8,1601.79,1433.26,551.37,2388.16,9155.85,48.15,519.57,2388.15,8220.23,8.5295,395.0,38.3,23.05,1
engine081_cyc238,643.54,1598.68,1428.15,551.54,2388.33,9055.6,48.11,519.35,2388.23,8135.48,8.4911,395.0,38.48,23.0828,1
